path	module	permission	guards	schema	file	line
/api/communications/messages/posts	communications	communications.view	requirePermission	PostsSchema	netlify/functions/routes/communications.ts	414
/api/communications/messages/presence/update	communications	communications.view	requirePermission	PresenceSchema	netlify/functions/routes/communications.ts	1017
/api/communications/messages/reactions/toggle	communications	communications.view	requirePermission	ToggleReactionSchema	netlify/functions/routes/communications.ts	933
/api/communications/messages/recipients	communications	communications.view	requirePermission	RecipientsSchema	netlify/functions/routes/communications.ts	816
/api/communications/messages/recordThread	communications	communications.thread_create	requirePermission	RecordThreadSchema	netlify/functions/routes/communications.ts	486
/api/communications/messages/search	communications	communications.view	requirePermission	MessageSearchSchema	netlify/functions/routes/communications.ts	442
/api/communications/messages/search	communications	communications.view	requirePermission	SearchSchema	netlify/functions/routes/communications.ts	801
/api/communications/messages/thread	communications	communications.view	requirePermission	ThreadGetSchema	netlify/functions/routes/communications.ts	385
/api/communications/messages/threads	communications	communications.view	requirePermission	ThreadsListSchema	netlify/functions/routes/communications.ts	361
/api/communications/notifications/archive	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	187
/api/communications/notifications/broadcast	communications	communications.admin	requirePermission	BroadcastSchema	netlify/functions/routes/communications.ts	306
/api/communications/notifications/list	communications	communications.view	requirePermission	NotifListSchema	netlify/functions/routes/communications.ts	126
/api/communications/notifications/markAllRead	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	173
/api/communications/notifications/markRead	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	159
/api/communications/notifications/mute	communications	communications.view	requirePermission	MuteSchema	netlify/functions/routes/communications.ts	272
/api/communications/notifications/preferences/get	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	209
/api/communications/notifications/preferences/set	communications	communications.view	requirePermission	PrefSetSchema	netlify/functions/routes/communications.ts	246
/api/communications/summary	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	107
/api/communications/tickets/attachments/complete	communications	communications.view	requirePermission	TicketAttachmentCompleteSchema	netlify/functions/routes/communications.ts	1304
/api/communications/tickets/attachments/get-url	communications	communications.view	requirePermission	TicketAttachmentGetSchema	netlify/functions/routes/communications.ts	1341
/api/communications/tickets/attachments/upload-url	communications	communications.view	requirePermission	TicketAttachmentUploadSchema	netlify/functions/routes/communications.ts	1263
/api/communications/tickets/command	communications	communications.view	requirePermission	TicketCommandSchema	netlify/functions/routes/communications.ts	1227
/api/communications/tickets/comment	communications	communications.view	requirePermission	CommentSchema	netlify/functions/routes/communications.ts	1203
/api/communications/tickets/create	communications	communications.view	requirePermission	CreateTicketSchema	netlify/functions/routes/communications.ts	1091
/api/communications/tickets/get	communications	communications.view	requirePermission	TicketIdSchema	netlify/functions/routes/communications.ts	1187
/api/communications/tickets/list	communications	communications.view	requirePermission	TicketListSchema	netlify/functions/routes/communications.ts	1155
/api/communications/tickets/mark-read	communications	communications.view	requirePermission	TicketMarkReadSchema	netlify/functions/routes/communications.ts	1243
/api/communications/tickets/nav-context	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	1179
/api/communications/tickets/request-types	communications	communications.view	requirePermission	RequestTypesSchema	netlify/functions/routes/communications.ts	1048
/api/communications/tickets/requester-search	communications	communications.view	requirePermission	RequesterSearchSchema	netlify/functions/routes/communications.ts	1064
/api/communications/tickets/run-overdue-sweep	communications	tickets.manage	requirePermission	TicketSweepSchema	netlify/functions/routes/communications.ts	1363
/api/confirm2faSetup	security			Setup2faConfirmSchema	netlify/functions/routes/auth.ts	481
/api/createTicket	communications		requireUser	CreateTicketSchema	netlify/functions/routes/tickets.ts	20
/api/deleteDepartment	hr	departments.delete	requirePermission	DeleteDepartmentSchema	netlify/functions/routes/departments.ts	78
/api/deleteEmployee	hr	employees.delete	assertInScope,requirePermission	DeleteEmployeeSchema	netlify/functions/routes/employees.ts	200
/api/deleteNotification	communications		requireUser	MarkReadSchema	netlify/functions/routes/notify.ts	164
/api/deleteProjectSite	platform	sites.delete	assertInScope,requirePermission	DeleteSiteSchema	netlify/functions/routes/sites.ts	122
/api/deleteTicket	communications		requireUser	GetTicketSchema	netlify/functions/routes/tickets.ts	126
/api/disable2fa	security		requireUser	Disable2faSchema	netlify/functions/routes/auth.ts	551
/api/finance/ap/aging	finance	finance.ap.view	requirePermission		netlify/functions/routes/financeAccountsPayable.ts	100
/api/finance/ap/bills/approve	finance	finance.ap.bills.approve	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	200
/api/finance/ap/bills/audit	finance	finance.ap.view	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	238
/api/finance/ap/bills/bulk-approve	finance	finance.ap.bills.approve	requirePermission	z.object({     billIds: z.array(z.string().uuid()).min(1).max(50),   })	netlify/functions/routes/financeAccountsPayable.ts	281
/api/finance/ap/bills/check-duplicate	finance	finance.ap.view	requirePermission	z.object({     vendorId: z.string().uuid(), vendorInvoiceNo: z.string().optional(),     totalAmount: z.number().nonnegative().optional(), billDate: z.string().regex(/^\d{4}-\d{2}-\d{2}$/).optional(),   })	netlify/functions/routes/financeAccountsPayable.ts	183
/api/finance/ap/bills/comments/create	finance	finance.ap.manage	requirePermission	z.object({ id: z.string().uuid(), body: z.string().trim().min(1).max(2000), isInternal: z.boolean().optional() })	netlify/functions/routes/financeAccountsPayable.ts	252
/api/finance/ap/bills/comments/list	finance	finance.ap.view	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	245
/api/finance/ap/bills/create	finance	finance.ap.bills.create, finance.ap.bills.submit	requirePermission	z.object({     vendorId: z.string().uuid(),     billDate: z.string().regex(/^\d{4}-\d{2}-\d{2}$/),     dueDate:  z.string().regex(/^\d{4}-\d{2}-\d{2}$/).optional(),     description: z.string().max(500).optional(),     vendorInvoiceNo: z.string().max(80).optional(),     reference: z.string().max(120).optional(),     currency: z.string().length(3).optional(),     paymentTermsDays: z.number().int().min(0).max(365).optional(),     glAccountCode: z.string().optional(),     lines: z.array(z.object({       description: z.string().min(1).max(300),       quantity: z.number().positive().optional(),       unitPrice: z.number().nonnegative().optional(),       amount: z.number().nonnegative().optional(),       glAccountCode: z.string().optional(),       costCenterId: z.string().uuid().nullable().optional(),       taxCode: z.string().max(30).optional(),       projectId: z.string().uuid().nullable().optional(),     })).min(1, 'At least one line is required.'),     taxIncluded: z.boolean().optional(),     taxAmount: z.number().nonnegative().optional(),     withholdingTaxCode: z.string().max(30).optional(),     submitForApproval: z.boolean().optional(),     duplicateOverrideReason: z.string().max(500).optional(),   })	netlify/functions/routes/financeAccountsPayable.ts	150
/api/finance/ap/bills/get	finance	finance.ap.view	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	47
/api/finance/ap/bills/import	finance	finance.ap.bills.import	requirePermission	z.object({     rows: z.array(z.object({       rowIndex:       z.number().int().min(0),       vendorName:     z.string().max(200),       vendorInvoiceNo: z.string().max(80).optional().default(''),       billDate:       z.string(),       dueDate:        z.string().optional().default(''),       description:    z.string().max(500),       amount:         z.string(),       glAccountCode:  z.string().max(30).optional().default(''),       currency:       z.string().length(3).optional().default('TTD'),     })).min(1).max(500),   })	netlify/functions/routes/financeAccountsPayable.ts	342
/api/finance/ap/bills/list	finance	finance.ap.view	requirePermission	z.object({     status: z.enum(BILL_FILTER_STATUS).optional(), vendorId: z.string().uuid().optional(), search: z.string().optional(),     dueFrom: z.string().regex(/^\d{4}-\d{2}-\d{2}$/).optional(), dueTo: z.string().regex(/^\d{4}-\d{2}-\d{2}$/).optional(),     amountMin: z.number().nonnegative().optional(), amountMax: z.number().nonnegative().optional(),     glAccountCode: z.string().max(30).optional(), approverId: z.string().optional(),     page: z.number().int().min(0).optional(), pageSize: z.number().int().min(1).max(100).optional(),   })	netlify/functions/routes/financeAccountsPayable.ts	34
/api/finance/ap/bills/record-payment	finance	finance.ap.payment.record	requirePermission	z.object({     id:              z.string().uuid(),     amount:          z.number().positive(),     method:          z.enum(PAYMENT_METHOD).optional(),     paymentDate:     z.string().regex(/^\d{4}-\d{2}-\d{2}$/).optional(),     reference:       z.string().max(120).optional(),     memo:            z.string().max(500).optional(),     sourceAccountId: z.string().uuid().optional(),   })	netlify/functions/routes/financeAccountsPayable.ts	214
/api/finance/ap/bills/reject	finance	finance.ap.bills.approve	requirePermission	z.object({ id: z.string().uuid(), reason: z.string().trim().min(1).max(500) })	netlify/functions/routes/financeAccountsPayable.ts	207
/api/finance/ap/bills/submit	finance	finance.ap.bills.submit	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	193
/api/finance/ap/bills/void	finance	finance.ap.bills.void	requirePermission	z.object({ id: z.string().uuid(), reason: z.string().trim().min(1).max(500) })	netlify/functions/routes/financeAccountsPayable.ts	230
/api/finance/ap/duplicate-risks/list	finance	finance.ap.view	requirePermission	z.object({ billId: z.string().uuid().optional() })	netlify/functions/routes/financeAccountsPayable.ts	261
/api/finance/ap/duplicate-risks/resolve	finance	finance.ap.duplicate.resolve	requirePermission	z.object({     reviewId:       z.string().uuid(),     resolution:     z.enum(['resolved_duplicate', 'resolved_distinct']),     resolutionNote: z.string().max(500).optional(),   })	netlify/functions/routes/financeAccountsPayable.ts	268
/api/finance/ap/kpis	finance	finance.ap.view	requirePermission		netlify/functions/routes/financeAccountsPayable.ts	95
/api/finance/ap/payment-runs/create	finance	finance.ap.payment.run.manage	requirePermission	z.object({     billIds:         z.array(z.string().uuid()).min(1).max(200),     paymentMethod:   z.enum(PAYMENT_METHOD),     payDate:         z.string().regex(/^\d{4}-\d{2}-\d{2}$/),     currency:        z.string().length(3).optional(),     notes:           z.string().max(500).optional(),     sourceAccountId: z.string().uuid().optional(),   })	netlify/functions/routes/financeAccountsPayable.ts	312
/api/finance/ap/payment-runs/get	finance	finance.ap.payment.run.manage	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	301
/api/finance/ap/payment-runs/list	finance	finance.ap.payment.run.manage	requirePermission	z.object({ status: z.enum(PAYMENT_RUN_STATUS).optional() })	netlify/functions/routes/financeAccountsPayable.ts	294
/api/finance/ap/payment-runs/process	finance	finance.ap.payment.run.process	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	326
/api/finance/ap/payment-runs/void	finance	finance.ap.payment.run.manage	requirePermission	z.object({ id: z.string().uuid(), reason: z.string().trim().min(1).max(500) })	netlify/functions/routes/financeAccountsPayable.ts	333
/api/finance/ap/payments/list	finance	finance.ap.view	requirePermission		netlify/functions/routes/financeAccountsPayable.ts	90
